brand,brand_type,product_count,products
Athletic Brewing,Competitor,17,"Athletic Lite, Athletic Lite (12-Packs), Athletic Oktoberfest, Athletic On Tap, Atletica Mexican-Style Copper, Free Wave Hazy IPA, Free Wave Hazy IPA (12-Packs), Free Wave Hazy IPA (19.2oz Can), Other Limited Release, Ripe Pursuit Lemon Radler, Run Wild IPA, Run Wild IPA (12-Packs), Run Wild IPA (19.2oz Can), Upside Dawn Golden, Upside Dawn Golden (12-Packs), Winter Wonder Winter Warmer, Wit's Peak Belgian-Style Wit"
Blue Moon,Coors,4,"Blue Moon Belgian White Ale, Blue Moon Light, Blue Moon Mango Wheat, Blue Moon Non-alcoholic Belgian White"
Captain Morgan,Competitor,470,"0082000004882, 0082000004882;0082000004929, 0082000004882;0082000004929;0082000797432, 0082000004882;0082000004929;0082000797449, 0082000004882;0082000797432, 0082000004882;0082000797449, 0082000004882;0082000797449;0082000797432, 0082000004882;0082000797449;0082000802754, 0082000004882;0082000800422, 0082000004882;0082000802754, 0082000004929, 0082000004929;0082000797432, 0082000004929;0082000797449, 0082000004929;0082000797449;0082000797432, 0082000004929;0082000800422, 0082000741985, 0082000741985;0082000004882, 0082000741985;0082000004882;0082000004929, 0082000741985;0082000004882;0082000004929;0082000797432, 0082000741985;0082000004882;0082000797432, 0082000741985;0082000004882;0082000797449;0082000797432, 0082000741985;0082000004882;0082000802754, 0082000741985;0082000004929, 0082000741985;0082000797432, 0082000741985;0082000797449, 0082000741985;0082000797449;0082000797432, 0082000741985;0082000802754, 0082000741985;0087000003323, 0082000741985;0087000003323;0082000004882, 0082000741985;0087000003323;0082000004882;0082000004929, 0082000741985;0087000003323;0082000004929, 0082000741985;0087000201781, 0082000741985;0087000201781;0082000004882, 0082000741985;0087000201781;0082000004882;0082000004929, 0082000741985;0087000201781;0082000004882;0082000797432, 0082000741985;0087000201781;0082000004882;0082000797449, 0082000741985;0087000201781;0082000004929, 0082000741985;0087000201781;0082000797432, 0082000741985;0087000201781;0082000797449, 0082000741985;0087000201781;0082000797449;0082000797432, 0082000741985;0087000201781;0082000797449;0082000797432;0082000802754, 0082000741985;0087000201781;0082000800439;0082000800422, 0082000741985;0087000201781;0082000800446, 0082000741985;0087000201781;0087000003323, 0082000741985;0087000201781;0087000003323;0082000004882, 0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797432, 0082000741985;0087000201781;0087000003323;0082000004882;0082000797432, 0082000741985;0087000201781;0087000003323;0082000004929, 0082000741985;0087000201781;0087000003323;0082000797432, 0082000741985;0087000201781;0087000003323;0082000797449;0082000797432, 0082000743491, 0082000766827, 0082000766827;0082000004882, 0082000766827;0082000004882;0082000004929, 0082000766827;0082000004882;0082000004929;0082000797449, 0082000766827;0082000004882;0082000004929;0082000797449;0082000797432, 0082000766827;0082000004882;0082000797432, 0082000766827;0082000004882;0082000797449, 0082000766827;0082000004882;0082000797449;0082000797432, 0082000766827;0082000004882;0082000800439, 0082000766827;0082000004882;0082000802754, 0082000766827;0082000004929, 0082000766827;0082000004929;0082000800439;0082000800422, 0082000766827;0082000741985, 0082000766827;0082000741985;0082000004882, 0082000766827;0082000741985;0082000004882;0082000004929, 0082000766827;0082000741985;0082000004882;0082000797432, 0082000766827;0082000741985;0082000004882;0082000797449;0082000797432, 0082000766827;0082000741985;0082000004882;0082000802754, 0082000766827;0082000741985;0082000004929, 0082000766827;0082000741985;0082000004929;0082000797449;0082000797432, 0082000766827;0082000741985;0082000797432, 0082000766827;0082000741985;0082000797449, 0082000766827;0082000741985;0082000797449;0082000797432;0082000802754, 0082000766827;0082000741985;0082000800439;0082000800422, 0082000766827;0082000741985;0087000003323, 0082000766827;0082000741985;0087000003323;0082000004882, 0082000766827;0082000741985;0087000003323;0082000004882;0082000004929, 0082000766827;0082000741985;0087000003323;0082000004929, 0082000766827;0082000741985;0087000003323;0082000797449;0082000797432, 0082000766827;0082000741985;0087000201781, 0082000766827;0082000741985;0087000201781;0082000004882, 0082000766827;0082000741985;0087000201781;0082000004882;0082000004929, 0082000766827;0082000741985;0087000201781;0082000004882;0082000004929;0082000797432, 0082000766827;0082000741985;0087000201781;0082000004882;0082000797432, 0082000766827;0082000741985;0087000201781;0082000004882;0082000797449, 0082000766827;0082000741985;0087000201781;0082000004882;0082000802754, 0082000766827;0082000741985;0087000201781;0082000004929, 0082000766827;0082000741985;0087000201781;0082000004929;0082000797449, 0082000766827;0082000741985;0087000201781;0082000797432, 0082000766827;0082000741985;0087000201781;0082000797449;0082000797432, 0082000766827;0082000741985;0087000201781;0082000800422, 0082000766827;0082000741985;0087000201781;0087000003323, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797432, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000797432, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000797449, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000797449;0082000797432, 0082000766827;0082000741985;0087000201781;0087000003323;0082000004929, 0082000766827;0082000741985;0087000201781;0087000003323;0082000797432, 0082000766827;0082000741985;0087000201781;0087000003323;0082000797449;0082000797432, 0082000766827;0082000794172, 0082000766827;0082000794172;0082000004882, 0082000766827;0082000794172;0082000004882;0082000004929, 0082000766827;0082000794172;0082000004882;0082000004929;0082000797432, 0082000766827;0082000794172;0082000004882;0082000797432, 0082000766827;0082000794172;0082000004882;0082000802754, 0082000766827;0082000794172;0082000004929, 0082000766827;0082000794172;0082000741985, 0082000766827;0082000794172;0082000741985;0082000004882, 0082000766827;0082000794172;0082000741985;0082000004882;0082000004929, 0082000766827;0082000794172;0082000741985;0082000004882;0082000004929;0082000797432, 0082000766827;0082000794172;0082000741985;0082000004882;0082000797432, 0082000766827;0082000794172;0082000741985;0082000004882;0082000797449;0082000797432, 0082000766827;0082000794172;0082000741985;0082000004882;0082000802754, 0082000766827;0082000794172;0082000741985;0082000004929, 0082000766827;0082000794172;0082000741985;0082000004929;0082000797432, 0082000766827;0082000794172;0082000741985;0082000004929;0082000797449;0082000797432, 0082000766827;0082000794172;0082000741985;0082000797432, 0082000766827;0082000794172;0082000741985;0082000797449, 0082000766827;0082000794172;0082000741985;0087000003323, 0082000766827;0082000794172;0082000741985;0087000003323;0082000004882, 0082000766827;0082000794172;0082000741985;0087000003323;0082000004882;0082000004929, 0082000766827;0082000794172;0082000741985;0087000003323;0082000004929, 0082000766827;0082000794172;0082000741985;0087000201781, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000743491, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000797449, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000800422, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000800439, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000797432;0082000802754, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000797449, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000797449;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000802754, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004929, 0082000766827;0082000794172;0082000741985;0087000201781;0082000004929;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0082000797449, 0082000766827;0082000794172;0082000741985;0087000201781;0082000802754, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797432;0082000800439;0082000800422;0082000800446, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797449, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797449;0082000797432, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000797449, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004929, 0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000797432, 0082000766827;0082000794172;0082000797449, 0082000766827;0082000794172;0082000797449;0082000797432, 0082000766827;0082000794172;0082000800439;0082000800422, 0082000766827;0082000794172;0087000003323, 0082000766827;0082000794172;0087000003323;0082000004882, 0082000766827;0082000794172;0087000003323;0082000004882;0082000004929, 0082000766827;0082000794172;0087000003323;0082000004929, 0082000766827;0082000794172;0087000201781, 0082000766827;0082000794172;0087000201781;0082000004882, 0082000766827;0082000794172;0087000201781;0082000004882;0082000004929, 0082000766827;0082000794172;0087000201781;0082000004882;0082000004929;0082000797432, 0082000766827;0082000794172;0087000201781;0082000004882;0082000797432, 0082000766827;0082000794172;0087000201781;0082000004882;0082000802754, 0082000766827;0082000794172;0087000201781;0082000004929, 0082000766827;0082000794172;0087000201781;0082000004929;0082000797432, 0082000766827;0082000794172;0087000201781;0082000797432, 0082000766827;0082000794172;0087000201781;0087000003323, 0082000766827;0082000794172;0087000201781;0087000003323;0082000004882;0082000004929, 0082000766827;0082000794172;0087000201781;0087000003323;0082000004882;0082000004929;0082000797449;0082000797432, 0082000766827;0082000794172;0087000201781;0087000003323;0082000004882;0082000797432, 0082000766827;0082000794172;0087000201781;0087000003323;0082000004929, 0082000766827;0082000794172;0087000201781;0087000003323;0082000797432, 0082000766827;0082000794172;0087000201781;0087000003323;0082000797449, 0082000766827;0082000794172;0087000201781;0087000003323;0082000797449;0082000797432, 0082000766827;0082000797432, 0082000766827;0082000797449, 0082000766827;0082000797449;0082000797432, 0082000766827;0082000800439, 0082000766827;0082000800439;0082000800422, 0082000766827;0082000802754, 0082000766827;0087000003323, 0082000766827;0087000003323;0082000004882, 0082000766827;0087000003323;0082000004882;0082000004929, 0082000766827;0087000003323;0082000004882;0082000797432, 0082000766827;0087000003323;0082000004929, 0082000766827;0087000003323;0082000797432, 0082000766827;0087000003323;0082000797449;0082000797432, 0082000766827;0087000201781, 0082000766827;0087000201781;0082000004882, 0082000766827;0087000201781;0082000004882;0082000004929, 0082000766827;0087000201781;0082000004882;0082000004929;0082000797432, 0082000766827;0087000201781;0082000004882;0082000004929;0082000797449, 0082000766827;0087000201781;0082000004882;0082000004929;0082000797449;0082000797432, 0082000766827;0087000201781;0082000004929, 0082000766827;0087000201781;0082000004929;0082000797449, 0082000766827;0087000201781;0082000797432, 0082000766827;0087000201781;0082000797449, 0082000766827;0087000201781;0082000797449;0082000797432, 0082000766827;0087000201781;0082000800422, 0082000766827;0087000201781;0087000003323, 0082000766827;0087000201781;0087000003323;0082000004882, 0082000766827;0087000201781;0087000003323;0082000004882;0082000004929, 0082000766827;0087000201781;0087000003323;0082000797449, 0082000794172, 0082000794172;0082000004882, 0082000794172;0082000004882;0082000004929, 0082000794172;0082000004882;0082000004929;0082000797432, 0082000794172;0082000004882;0082000004929;0082000797449, 0082000794172;0082000004882;0082000797432, 0082000794172;0082000004882;0082000797449, 0082000794172;0082000004882;0082000797449;0082000797432, 0082000794172;0082000004882;0082000802754, 0082000794172;0082000004929, 0082000794172;0082000004929;0082000797432, 0082000794172;0082000004929;0082000797449, 0082000794172;0082000004929;0082000797449;0082000797432, 0082000794172;0082000741985, 0082000794172;0082000741985;0082000004882, 0082000794172;0082000741985;0082000004882;0082000004929, 0082000794172;0082000741985;0082000004882;0082000004929;0082000797432, 0082000794172;0082000741985;0082000004882;0082000802754, 0082000794172;0082000741985;0082000004929, 0082000794172;0082000741985;0082000004929;0082000797449, 0082000794172;0082000741985;0082000797432, 0082000794172;0082000741985;0082000797449, 0082000794172;0082000741985;0082000800422, 0082000794172;0082000741985;0087000003323, 0082000794172;0082000741985;0087000003323;0082000004882, 0082000794172;0082000741985;0087000003323;0082000004882;0082000004929, 0082000794172;0082000741985;0087000003323;0082000004882;0082000004929;0082000797449, 0082000794172;0082000741985;0087000003323;0082000004929, 0082000794172;0082000741985;0087000003323;0082000004929;0082000797432, 0082000794172;0082000741985;0087000201781, 0082000794172;0082000741985;0087000201781;0082000004882, 0082000794172;0082000741985;0087000201781;0082000004882;0082000004929, 0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000797432, 0082000794172;0082000741985;0087000201781;0082000004882;0082000797432, 0082000794172;0082000741985;0087000201781;0082000004882;0082000797449;0082000797432, 0082000794172;0082000741985;0087000201781;0082000004882;0082000802754, 0082000794172;0082000741985;0087000201781;0082000004929, 0082000794172;0082000741985;0087000201781;0082000004929;0082000797449, 0082000794172;0082000741985;0087000201781;0082000797432, 0082000794172;0082000741985;0087000201781;0082000797449, 0082000794172;0082000741985;0087000201781;0087000003323, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004882, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797449, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000797449, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004929, 0082000794172;0082000741985;0087000201781;0087000003323;0082000004929;0082000797449, 0082000794172;0082000741985;0087000201781;0087000003323;0082000797432, 0082000794172;0082000741985;0087000201781;0087000003323;0082000797449, 0082000794172;0082000741985;0087000201781;0087000003323;0082000797449;0082000797432, 0082000794172;0082000797432, 0082000794172;0082000797449, 0082000794172;0082000797449;0082000797432, 0082000794172;0082000800422, 0082000794172;0082000802754, 0082000794172;0087000003323, 0082000794172;0087000003323;0082000004882, 0082000794172;0087000003323;0082000004882;0082000004929, 0082000794172;0087000003323;0082000004882;0082000004929;0082000797432, 0082000794172;0087000003323;0082000004882;0082000004929;0082000797432;0082000800439, 0082000794172;0087000003323;0082000004882;0082000797449, 0082000794172;0087000003323;0082000004929, 0082000794172;0087000003323;0082000004929;0082000797432, 0082000794172;0087000003323;0082000004929;0082000797449, 0082000794172;0087000003323;0082000004929;0082000797449;0082000797432, 0082000794172;0087000003323;0082000797449;0082000797432, 0082000794172;0087000201781, 0082000794172;0087000201781;0082000004882, 0082000794172;0087000201781;0082000004882;0082000004929, 0082000794172;0087000201781;0082000004882;0082000797432, 0082000794172;0087000201781;0082000004882;0082000802754, 0082000794172;0087000201781;0082000004929, 0082000794172;0087000201781;0082000797432, 0082000794172;0087000201781;0087000003323, 0082000794172;0087000201781;0087000003323;0082000004882, 0082000794172;0087000201781;0087000003323;0082000004929, 0082000797432, 0082000797432;0082000800422, 0082000797432;0082000802754, 0082000797449, 0082000797449;0082000797432, 0082000797449;0082000797432;0082000802754, 0082000797449;0082000800422, 0082000797449;0082000802754, 0082000800422, 0082000800439, 0082000800439;0082000800422, 0082000800439;0082000800422;0082000800446, 0082000800446, 0082000802754, 0082000808855, 0082000808855;0082000004882, 0082000808855;0082000004882;0082000004929, 0082000808855;0082000004882;0082000004929;0082000797432, 0082000808855;0082000004882;0082000797449, 0082000808855;0082000004929, 0082000808855;0082000004929;0082000797432, 0082000808855;0082000004929;0082000797449;0082000797432, 0082000808855;0082000741985, 0082000808855;0082000741985;0082000004882, 0082000808855;0082000741985;0082000004882;0082000004929, 0082000808855;0082000741985;0082000797432, 0082000808855;0082000741985;0087000003323;0082000797432, 0082000808855;0082000741985;0087000201781, 0082000808855;0082000741985;0087000201781;0082000004882;0082000797432, 0082000808855;0082000741985;0087000201781;0082000004929;0082000797449;0082000797432, 0082000808855;0082000741985;0087000201781;0087000003323, 0082000808855;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000808855;0082000766827, 0082000808855;0082000766827;0082000004882, 0082000808855;0082000766827;0082000004882;0082000004929, 0082000808855;0082000766827;0082000004882;0082000797432, 0082000808855;0082000766827;0082000004882;0082000797449, 0082000808855;0082000766827;0082000004929, 0082000808855;0082000766827;0082000004929;0082000797432, 0082000808855;0082000766827;0082000741985, 0082000808855;0082000766827;0082000741985;0082000004882, 0082000808855;0082000766827;0082000741985;0082000004929, 0082000808855;0082000766827;0082000741985;0082000797449, 0082000808855;0082000766827;0082000741985;0087000003323, 0082000808855;0082000766827;0082000741985;0087000003323;0082000004882, 0082000808855;0082000766827;0082000741985;0087000003323;0082000004882;0082000797432, 0082000808855;0082000766827;0082000741985;0087000201781, 0082000808855;0082000766827;0082000741985;0087000201781;0082000004882, 0082000808855;0082000766827;0082000741985;0087000201781;0082000004882;0082000004929, 0082000808855;0082000766827;0082000741985;0087000201781;0082000004882;0082000004929;0082000797432, 0082000808855;0082000766827;0082000741985;0087000201781;0082000797432, 0082000808855;0082000766827;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172, 0082000808855;0082000766827;0082000794172;0082000004882, 0082000808855;0082000766827;0082000794172;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172;0082000004882;0082000797449, 0082000808855;0082000766827;0082000794172;0082000741985, 0082000808855;0082000766827;0082000794172;0082000741985;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172;0082000741985;0082000004882;0082000797449;0082000797432, 0082000808855;0082000766827;0082000794172;0082000741985;0087000003323;0082000004882;0082000004929;0082000797449;0082000797432, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004882, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000797432, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929;0082000800422, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004882;0082000797432, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000004929, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0082000800439;0082000800422, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0087000003323, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000004929;0082000797432;0082000800446, 0082000808855;0082000766827;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000797449;0082000797432;0082000800439;0082000800422;0082000805687;0082000806363;0082000802754;0082000809012, 0082000808855;0082000766827;0082000794172;0082000797432, 0082000808855;0082000766827;0082000794172;0087000201781, 0082000808855;0082000766827;0082000794172;0087000201781;0082000004882, 0082000808855;0082000766827;0082000794172;0087000201781;0082000004882;0082000004929, 0082000808855;0082000766827;0082000794172;0087000201781;0087000003323;0082000004882, 0082000808855;0082000766827;0082000797449;0082000797432, 0082000808855;0082000766827;0082000800422, 0082000808855;0082000766827;0087000003323, 0082000808855;0082000766827;0087000003323;0082000004882, 0082000808855;0082000766827;0087000003323;0082000004882;0082000004929, 0082000808855;0082000766827;0087000201781, 0082000808855;0082000766827;0087000201781;0082000004882, 0082000808855;0082000766827;0087000201781;0082000004882;0082000004929, 0082000808855;0082000766827;0087000201781;0082000004882;0082000004929;0082000797432, 0082000808855;0082000766827;0087000201781;0082000004882;0082000797432, 0082000808855;0082000766827;0087000201781;0082000004929, 0082000808855;0082000766827;0087000201781;0082000797449, 0082000808855;0082000766827;0087000201781;0087000003323, 0082000808855;0082000794172, 0082000808855;0082000794172;0082000004882, 0082000808855;0082000794172;0082000004882;0082000004929, 0082000808855;0082000794172;0082000004929, 0082000808855;0082000794172;0082000004929;0082000797449;0082000797432, 0082000808855;0082000794172;0082000741985, 0082000808855;0082000794172;0082000741985;0082000004882, 0082000808855;0082000794172;0082000741985;0082000004882;0082000004929, 0082000808855;0082000794172;0082000741985;0082000004882;0082000004929;0082000797432, 0082000808855;0082000794172;0082000741985;0082000004929, 0082000808855;0082000794172;0082000741985;0087000003323, 0082000808855;0082000794172;0082000741985;0087000201781;0082000004882;0082000004929, 0082000808855;0082000794172;0082000741985;0087000201781;0082000004882;0082000797432, 0082000808855;0082000794172;0082000741985;0087000201781;0087000003323, 0082000808855;0082000794172;0082000741985;0087000201781;0087000003323;0082000004882;0082000797432, 0082000808855;0082000794172;0082000741985;0087000201781;0087000003323;0082000004929, 0082000808855;0082000794172;0082000741985;0087000201781;0087000003323;0082000004929;0082000797449, 0082000808855;0082000794172;0082000797432, 0082000808855;0082000794172;0082000797449, 0082000808855;0082000794172;0082000797449;0082000797432, 0082000808855;0082000794172;0087000003323, 0082000808855;0082000794172;0087000003323;0082000004882;0082000004929, 0082000808855;0082000794172;0087000003323;0082000004929, 0082000808855;0082000794172;0087000201781, 0082000808855;0082000794172;0087000201781;0082000004882, 0082000808855;0082000794172;0087000201781;0082000004882;0082000004929, 0082000808855;0082000794172;0087000201781;0082000004882;0082000004929;0082000797449, 0082000808855;0082000794172;0087000201781;0082000797432, 0082000808855;0082000794172;0087000201781;0082000797449, 0082000808855;0082000794172;0087000201781;0087000003323;0082000004929, 0082000808855;0082000797432, 0082000808855;0082000797449, 0082000808855;0082000797449;0082000797432, 0082000808855;0082000800422;0082000800446, 0082000808855;0082000800439, 0082000808855;0082000800446, 0082000808855;0087000003323, 0082000808855;0087000003323;0082000004882, 0082000808855;0087000003323;0082000004882;0082000004929;0082000797432, 0082000808855;0087000003323;0082000004882;0082000004929;0082000797449, 0082000808855;0087000003323;0082000004882;0082000004929;0082000797449;0082000797432, 0082000808855;0087000003323;0082000004882;0082000797432, 0082000808855;0087000003323;0082000004929, 0082000808855;0087000003323;0082000004929;0082000797449, 0082000808855;0087000003323;0082000004929;0082000797449;0082000797432, 0082000808855;0087000003323;0082000797432, 0082000808855;0087000003323;0082000797432;0082000800446, 0082000808855;0087000003323;0082000797449, 0082000808855;0087000201781, 0082000808855;0087000201781;0082000004882, 0082000808855;0087000201781;0082000004882;0082000004929, 0082000808855;0087000201781;0082000004882;0082000797432, 0082000808855;0087000201781;0082000004929, 0082000808855;0087000201781;0082000797432, 0082000808855;0087000201781;0087000003323, 0087000003323, 0087000003323;0082000004882, 0087000003323;0082000004882;0082000004929, 0087000003323;0082000004882;0082000004929;0082000797432, 0087000003323;0082000004882;0082000797432, 0087000003323;0082000004882;0082000797449, 0087000003323;0082000004929, 0087000003323;0082000004929;0082000797432, 0087000003323;0082000004929;0082000797449;0082000797432, 0087000003323;0082000797432, 0087000003323;0082000797432;0082000800439, 0087000003323;0082000797449, 0087000003323;0082000797449;0082000797432, 0087000003323;0082000800439, 0087000201781, 0087000201781;0082000004882, 0087000201781;0082000004882;0082000004929, 0087000201781;0082000004882;0082000004929;0082000797432, 0087000201781;0082000004882;0082000004929;0082000797449;0082000797432, 0087000201781;0082000004882;0082000004929;0082000802754, 0087000201781;0082000004882;0082000797432, 0087000201781;0082000004882;0082000797449, 0087000201781;0082000004882;0082000797449;0082000797432, 0087000201781;0082000004929, 0087000201781;0082000004929;0082000797449, 0087000201781;0082000797432, 0087000201781;0082000797449, 0087000201781;0082000797449;0082000797432, 0087000201781;0082000797449;0082000797432;0082000800422;0082000802754, 0087000201781;0082000797449;0082000800439, 0087000201781;0082000800439, 0087000201781;0082000800439;0082000800422;0082000800446, 0087000201781;0082000802754, 0087000201781;0087000003323, 0087000201781;0087000003323;0082000004882, 0087000201781;0087000003323;0082000004882;0082000004929, 0087000201781;0087000003323;0082000004882;0082000004929;0082000797432, 0087000201781;0087000003323;0082000004882;0082000797432, 0087000201781;0087000003323;0082000797432, 0087000201781;0087000003323;0082000797449, 0087000201781;0087000003323;0082000800422"
Coors Banquet,Coors,1,Coors Banquet
Coors Edge,Coors,1,Coors Edge Na
Del Soi,Competitor,0,
Happy Thursday,Coors,3,"Happy Thursday Pineapple Starfruit, Happy Thursday Strawberry, Happy Thursday Variety Pack"
Henry Weinhards,Coors,4,"Henry Weinhard's Black Cherry Cream, Henry Weinhard's Orange Cream, Henry Weinhard's Root Beer, Henry Weinhard's Vanilla Cream"
High Noon,Competitor,20,"Black Cherry Vodka Seltzer 4 Pack, Grapefruit Vodka Seltzer 4 Pack, High Noon Beverage Vodka Tea Var Lake Pk 355Ml, Lemon Vodka Seltzer 4 Pack, Lime Vodka Seltzer 4 Pack, Mango Vodka Seltzer 4 Pack, Passionfruit Vodka Seltzer 4 Pack, Peach Vodka Seltzer 4 Pack, Pineapple Vodka Seltzer 4 Pack, Tequila Seltzer Blood Orange, Tequila Seltzer Grapefruit, Tequila Seltzer Lime, Tequila Seltzer Passion Fruit, Tequila Seltzer Prickly Pear, Tequila Seltzer Strawberry, Vodka Seltzer Beach Variety 12 Pack, Vodka Seltzer Day Variety 8 Pack, Vodka Seltzer Tropical Variety 8 Pack, Vodka Seltzer Variety 18-Pack, Watermelon Vodka Seltzer 4 Pack"
Hiyo,Competitor,20,"2702489485830560, 2702489485830562, 2702489485830563, 2702489485830564, 2721318227516322, 2721318227516323, 2721318227516324, 2721318227516325, 2721318227516329, 2721318227516330, 2721318227516331, 2721318227516332, 2721318227516333, 2721318227516334, 2721318227516335, 2721318227516337, 2799247021583955, 2799247021583957, 2799247021583958, 2906731977066212"
